"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"апэм","нареч. раньше, в прошлом
Нахьыпэм, ыпэм, пасэм
Апэм щыIэгъэ цIыфхэр
Апэм ахэлъыгъэ шIошъхъуныгъэ пхэнджхэр цIыфмэ ахэгъэзыгъэн фае"
"апэрапшIэу","нареч. прежде всего
НахьыпэрапшIэу
АпэрапшIэу Iофым нэIуасэ зыфэшIи етIанэ тегущыI"
"апэрэмкIэ","нареч.
1. сначала къып. <<аужырэмкIэ>>
АпэрэмкIэ макIэ къыщагъэр, ау ятIонэрэмкIэ бэу къыщагъ
2. во-первых
АпэрэмкIэ сыкъызыкIэупчIэрэр уипсэуныгъ"
"апэрэр","пчъ. первый, -ая, -ое
ЗэкIэлъыкIо пчъэгъацI
Апэрэр Iоф къинэп, ау ятIонэрэр къин хьазыр"
"апэу","нареч. сперва
Апэдэдэу
Апэу тхылъым еплъыныр зырегъажьэм, Нафисэт урысыбзэу къыгурыIорэр мэкIэ дэдагъ КI. Т.
Апэу тэджырэм шыкIэхъу фалъфы гущ."
"ар","
I местоимение 3 лица
Ящэнэрэшъхьэр къэзгъэлъэгъорэ местоимение
Ар боу еджэгъэшху
Ар студент кIал
II (арыр, архэр) ар
ЧIыгу площадыр зэрашырэ шапхъ
Арыр кв метри 100
Зы ар картоф ышIагъ"
"араб","(арабыр, арабхэр)
араб
Мысырым, Сирием, Палестинэм, Иракым ыкIи Темыр Африкэм ис цIыф лъэпкъышху
Араб хэгъэгоу щыIэр бэ"
"арап","(арапыр, арапхэр)
арап, негр
ЦIыф шIуцIэ лъэпкъ, негр
Арапым фэдэу шIуцIабз"
"аргорэу","нареч. снова, вновь
ИкIэрыкIэу
Аргорэу тесыдзи сыкIуагъ"
"аргуадж","(аргуаджэр, аргуаджэхэр)
рогожа
Бзыф пхъэшъо чIэгъым чIэлъ лэнтхъум хэшIыкIыгъэ благъэу шэкIы, бзыуцыф, нэмыкIхэр зыкIоцIапхэрэр
Бзыуцыф кипым аргуаджэ къедэкIыгъ
◊ Аргоджэ Iалъмэкъ — сумка из рогожи"
"аргъой","(аргъоир, аргъойхэр)
комар
Лъы ешъорэ хьацIэпIацI
Аргъоир од шIуцIэ пэдыд, одыжъые тхьамыкI, тхьакIумакIэм зыхесэ, осэпс къехмэ мэмэхы, хьэ хыныгъом мэятэ, мэкъу оныгъом мэтэджы гущ. Аргъоир цIыкIу дэд аслъаным ылъ ешъо нахь"
"аргъэн","(аргъэныр, аргъэнхэр)
скошенный ряд
Щэмэджым гуихыгъэ мэкъу, коц, нэмыкI упкIэгъэ сатыр
Мэкъуаом зы аргъэн гуих къэсми щэмэджыр елъы
Мэкъуаомэ захэхьэм щэмэджыр ышти зы аргъэн гуихыгъ"
"ардэдэ","гущыIэгъус именно
Ардэд Iофыр зытетыр"
"ардэдэм","нареч. в эту же минуту, в это же время
Асыхьатым
Ардэдэм шы лъэмакъэ къэIугъ
Ардэдэм ДэгъотлIыкъорэ Мыхьамэтрэ Биболэт къалъэгъуи къыбгъодэхьагъэх КI. Т."
"арджэн","(арджэныр, арджэнхэр)
еплъ <<пIуабл>>"
"аренд","(арендэр)
аренда
унэ, бгъагъэ, чIыгу бгъэфедэнэу пIэлъэ гъэнэфагъэкIэ убытыныр е птыныр
Арендэу ыубытыгъ
Арендэу ытыгъ"
"арифметикэ","(арифметикэр)
арифметика
Пчъагъэмэ, арифметическэ действиемэ яхьылIэгъэ шIэныгъ
Ащ арифметикэр дэгъоу ешIэ
АрифметикэмкIэ IофшIэнхэр зыдэт тхылъ"
"аркъ","(аркъыр)
водка
ЦIыфхэр згъэутэшъорэ шъонмэ ащыщ
Аркъыр коцым, натрыфым хашIыкIы
Аркъым ыгъэуташъорэм кIэкIыжьы, былымым ыгъэуташъорэм кIэкIыжьрэп гущ."
"аркъашъо","пить водку
Ар аркъашъо кIуагъэ"
"аркъашъу","(аркъашъор, аркъашъохэр)
пьяница
Аркъ ешъоным пыщагъэу хъугъэр
Ар аркъашъу, хебгъэнэн плъэкIыщтэп"
"аркъыбжъ","(аркъыбжъэр, аркъыбжъэхэр)
стопка водки
Аркъ стэчан
Аркъыбжъэр ратыгъ
Аркъыбжъэр ыIэтыгъ"
"аркъын","(аркъыныр, аркъынхэр)
аркан
ШыкIэм е кIапсэм хэшIыкIыгъэу гъэщыгъэу, шы емлычхэр къызэраубытрэр
Аркъыным ыIэпакIэ шкIунэ иI
Аркъыныр ыдзи, шым ыпшъэ ригъэфагъ
АркъынкIэ емлычыр къаубыты
Блэ зэуагъэр аркъыным щэщынэ гущ."
"аркъынау","(аркъынаор, аркъынаохэр)
арканщик
Аркъын дзыным фэIазэр ары
Ар аркъынэо Iаз"
"армие","(армиер, армиехэр)
1. армия
Къэралыгъом зэкIэ дзэ кIуачIэу иIэр
Тихэгъэгу иармие фашист армиер зэхикъутагъ
2. корпус
Дивизие заулэу, авиациери танкхэри зыхэтэу, зы командирым ыIэ илъыр"
"армырмэ","если не это
Армырмэ сшIэрэп"
"армэу","(армэур, армэухэр)
лентяй
еплъ <<ерыуадж>>"
"артель","(артелыр, артельхэр)
артель
1. Зэрылажьэхэрэ Iэмэ-псымэхэу яIэхэр зэхалъхьэным ылъапсэ тетэу зэдэлажьэхэрэр ары
Мэкъумэщ артель
2. Купэу е организациеу, зэдэлэжьэнэу, Iоф зэдашIэнэу зэхэхьагъэр
ЩазмэшIэ артель, дэкIо артель"
"артист","(артистыр, артистхэр)
артист
Искусствэм ипроизведениехэр къэзыIоу, сценэм къыщызыгъэлъагъорэр
Опернэ артист
Эстраднэ артист"
"архив","(архивыр, архивхэр)
архив
1. Документыжъхэр ыкIи ижърэ тхылъхэр зыщаIыгъэу, зыщаухъумэрэ IофшIапI
Архивым чIэлъ
Архивым ратыжьыгъ
2. IофшIапIэм щыщ къутамэу, документыжъхэр зыщаIыгъырэр
Институтым иархив чIэлъ
3. IофшIапIэ горэм, цIыф горэм ехьылIэгъэ угъоигъэ Iэпэрытххэмрэ письмэхэмрэ араIо
Пушкиным иархив"
"аршын","(аршыныр, аршынхэр)
аршин
1. МетрэкIэ ашын системэм техьаным къыпэкIэ Урысыем кIыхьэгъэ шапхъэу иIагъ
Аршыныр метрэм и 0,71-рэ мэхъу
ШэкI аршын къыщэфыгъ
2. Джар зикIыхьэгъэ гъучI е пхъэ линейкэм раIо
АршынкIэ шэкIыр ашы
Пхъэ аршын
◊ Ежь иаршынкIэ ешы — мерить на свой аршин"
"аршъыпкъ","гущыIэгъус еплъ <<ардэдэ>>"
"ары","къэзгъэп гущыIэгъус да; частица
Джэуап ат зыхъукIэ, зэрэразэр, зэреуцуалIэрэр къырагъэкIэу агъэфедэ
Тыгъуаса укъызыкIожьыгъэр? — Ары
Мыекъуапа узщеджэрэр? — Ары
ЗытегущыIэрэр зызэблахъукIэ, зыгорэ агу къэкIыжь зыхъукIэ, зыгорэм егупшысхэ зыхъукIэ агъэфедэ
Ары, джырэ уахътэр дэгъу"
"арыгъэ","зыпI. гл. был, -а, -о
Ар Исмахьил арыгъэ КI. Т."
"арызы","абдз. еплъ <<арышъ>>"
"арыпакIо","(арыпакIошъ)
гущыIэз. не только... но
Арэпшъы
АрыпакIо ори ар фызэшIокIынэп
АрыпакIошъ ащ нахьи нахь еджэгъаIоми ар фэтхынэп"
"арыти","союз поэтому, так как
Ащыгъум тетыгъор пщыоркъмэ аIыгъыгъ, арыти тэщ фэдэ тхьамыкIэхэр къыдагъэплъыщтыгъэхэп"
"арышъ","нареч. поэтому
ЗэIукIэ щыIэн фаеу щыт, арышъ шIэхэу сынэсын фае"
"арышъо","(арышъор)
подобный, -ая, -ое
Ехьщыр
Арышъо тео
Арышъо тепштэнэу щыт"
"арыщтын","гущыIэгъус наверное
Арын фае
Арыщтын ар зыфэягъэр"
"арэу","нареч. так, таким образом
Джащтэу, нэмыкIэу щымытэу
Арэу ыIуагъ
Арэу щытыгъ"
"арэущтэу","нареч. еплъ <<арэу>>"
"аслъан","(аслъаныр, аслъанхэр)
лев
ХьакIэ-къокIэ цунтхъэкIо ин
Аслъаным фэд, лIыблан"
"аспирант","(аспирантыр, аспирантхэр)
аспирант
Апшъэрэ еджэпIэшхохэм е научнэ IофшIапIэм иаспирантурэ щеджэу, научнэ IофшIакIо хъунэу зызгъасэрэр
Сшынахьыжъ аспирант хъугъэ"
"аспирин","(аспириныр)
аспирин
Сымаджэм иплъырстырыгъэ нахь къезгъэIыхырэ Iазэгъу уц
Сымаджэр аспирин рагъэшъуагъ"
